freq_threshold,binarization_threshold,max_dt_depth,composition_strategy,rule_size,mean_offdiag_iou,max_offdiag_iou,summed_root_volume,domain_root_volume,class_root_volumes,val_accuracy,test_accuracy
0.005,0.02,10,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.05,4,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,4,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.05,5,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,5,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.05,6,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,6,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.05,7,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,7,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.05,8,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,8,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.05,9,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,9,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.05,10,greedy_cover,94,0.202629,0.507476,84.827273,7.704167,2.228707;25.762511;56.836054,0.908946,0.813397
0.005,0.05,10,ilp_optimal,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054,0.904153,0.802233
0.005,0.1,4,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,4,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.005,0.1,5,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,5,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.005,0.1,6,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,6,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.005,0.1,7,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,7,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.005,0.1,8,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,8,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.005,0.1,9,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,9,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.005,0.1,10,greedy_cover,93,0.183748,0.515006,81.503791,7.704167,2.046319;25.454340;54.003131,0.907348,0.808612
0.005,0.1,10,ilp_optimal,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829,0.912141,0.802233
0.01,0.005,4,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,4,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.005,5,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,5,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.005,6,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,6,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.005,7,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,7,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.005,8,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,8,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.005,9,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,9,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.005,10,greedy_cover,94,0.202437,0.507613,84.301322,7.704167,2.228707;25.438754;56.633861,0.908946,0.814992
0.01,0.005,10,ilp_optimal,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861,0.904153,0.802233
0.01,0.01,4,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,4,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.01,5,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,5,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.01,6,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,6,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.01,7,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,7,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.01,8,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,8,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.01,9,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,9,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.01,10,greedy_cover,93,0.201397,0.506090,84.124839,7.704167,2.228707;25.522947;56.373185,0.908946,0.810207
0.01,0.01,10,ilp_optimal,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185,0.904153,0.800638
0.01,0.02,4,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,4,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.02,5,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,5,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.02,6,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,6,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.02,7,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,7,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.02,8,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,8,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.02,9,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,9,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.02,10,greedy_cover,94,0.203663,0.510937,84.308462,7.704167,2.228707;25.706570;56.373185,0.908946,0.813397
0.01,0.02,10,ilp_optimal,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185,0.904153,0.802233
0.01,0.05,4,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
